created_at,entry_id,humidity,drection,press,temperature,speed
2021/6/9 10:42,1,59,4,100833,27.8,0.9
2021/6/9 11:17,2,85,7,100688,26.1,0.1
2021/6/9 11:52,3,86,2,100694,26.8,0.4
2021/6/9 12:27,4,88,7,100693,26.7,0.3
2021/6/9 13:03,5,88,7,100684,26.6,0.7
2021/6/9 13:38,6,86,0,100619,27.3,0
2021/6/9 14:13,7,86,2,100559,27.2,0
2021/6/9 14:49,8,84,1,100520,28.2,0.9
2021/6/9 15:24,9,84,0,100453,28.5,1.2
2021/6/9 15:59,10,81,2,100396,29,0
2021/6/9 16:35,11,81,2,100394,29.3,0.7
2021/6/9 17:10,12,78,0,100365,29.6,0.5
2021/6/9 17:45,13,77,2,100364,29.2,1
2021/6/9 18:20,14,78,4,100368,29,1.2
2021/6/9 18:56,15,78,0,100386,28.3,0.6
2021/6/9 20:06,16,81,0,100538,28,0.3
2021/6/9 20:42,17,82,4,100571,27.6,0.2
2021/6/9 21:17,18,83,7,100621,27.3,0.4
2021/6/9 21:52,19,83,1,100658,27.2,0.9
2021/6/9 23:38,20,84,6,100653,26.7,0
2021/6/10 0:13,21,85,3,100628,26.7,0.2
2021/6/10 0:49,22,85,0,100636,26.7,0.1
2021/6/10 1:24,23,85,2,100606,26.6,0.8
2021/6/10 1:59,24,86,5,100547,26.5,0
2021/6/10 2:35,25,86,1,100516,26.3,0
2021/6/10 3:10,26,86,4,100495,26.3,0
2021/6/10 3:45,27,86,1,100474,26.2,1.1
2021/6/10 4:20,28,86,7,100485,26.1,0
2021/6/10 4:56,29,86,3,100486,25.8,0
2021/6/10 5:31,30,86,1,100476,25.8,0.3
2021/6/10 6:06,31,86,7,100494,26,0.9
2021/6/10 6:42,32,83,0,100502,28,0.4
2021/6/10 7:17,33,71,1,100502,30.7,0
2021/6/10 7:52,34,71,7,100503,30.5,0.3
2021/6/10 8:28,35,65,3,100500,32.7,0.7
2021/6/10 9:03,36,66,2,100510,32.2,1.4
2021/6/10 9:38,37,63,6,100515,33,0.6
2021/6/10 10:49,38,55,0,100487,33.7,0.6
2021/6/10 11:24,39,63,3,100476,31.6,0.3
2021/6/10 11:59,40,61,2,100455,32.4,1.8
2021/6/10 12:35,41,61,1,100421,32.4,1
2021/6/10 13:10,42,58,7,100340,33,0.2
2021/6/10 13:45,43,56,1,100301,33.4,3
2021/6/10 14:21,44,51,1,100239,34.2,0.4
2021/6/10 14:56,45,52,1,100194,34,1.1
2021/6/10 15:31,46,56,5,100175,32.9,0.4
2021/6/10 16:06,47,55,6,100159,33,1.4
2021/6/10 16:42,48,56,5,100158,32.5,1.2
2021/6/10 17:17,49,57,2,100175,32,1.1
2021/6/10 17:52,50,64,1,100195,30.8,0.8
2021/6/10 18:28,51,68,0,100229,30.5,0.9
2021/6/10 19:38,52,73,1,100350,29.1,0.7
2021/6/10 20:49,53,76,0,100407,28.7,1.5
2021/6/10 21:24,54,75,1,100433,28.5,1.5
2021/6/10 22:35,55,78,2,100486,28.2,1.7
2021/6/10 23:10,56,79,2,100502,28,0.2
2021/6/10 23:45,57,80,2,100509,27.8,0.3
2021/6/11 0:21,58,82,1,100473,27.7,1.1
2021/6/11 0:56,59,80,1,100445,27.7,0.7
2021/6/11 2:06,60,80,6,100391,27.7,0.2
2021/6/11 2:42,61,82,0,100351,27.5,0
2021/6/11 3:17,62,83,2,100329,27.2,0.4
2021/6/11 3:52,63,83,1,100315,27.1,1
2021/6/11 4:28,64,84,0,100304,27,0.7
2021/6/11 5:03,65,84,0,100305,27,0.7
2021/6/11 5:38,66,85,7,100318,26.8,0.3
2021/6/11 6:14,67,84,1,100344,27.2,0.7
2021/6/11 6:49,68,83,0,100342,27.8,1.2
2021/6/11 7:24,69,70,0,100345,31,0.2
2021/6/11 7:59,70,61,7,100360,33.2,1.4
2021/6/11 8:35,71,66,7,100406,32.2,0.8
2021/6/11 9:10,72,67,4,100448,31.7,0.7
2021/6/11 9:45,73,62,0,100434,32.2,1.5
2021/6/11 10:21,74,86,7,100520,27.7,1.2
2021/6/11 10:56,75,74,6,100521,31.3,0.7
2021/6/11 11:31,76,67,3,100481,32,0.7
2021/6/11 12:07,77,58,1,100452,33,0.5
2021/6/11 13:17,78,56,6,100339,33.2,2.1
2021/6/11 13:52,79,54,7,100334,34,0.5
2021/6/11 14:28,80,49,7,100301,34.5,1.3
2021/6/11 15:03,81,52,2,100277,34.2,0.7
2021/6/11 15:38,82,50,2,100225,34.2,0.7
2021/6/11 16:14,83,55,0,100243,33,2.1
2021/6/11 16:49,84,57,1,100221,32.5,1.1
2021/6/11 17:24,85,60,2,100261,32,3.3
2021/6/11 17:59,86,63,2,100265,31.3,1.6
2021/6/11 18:35,87,66,4,100277,30.8,0.6
2021/6/11 19:10,88,68,5,100375,30.3,0.7
2021/6/11 19:45,89,71,0,100426,29.7,1.4
2021/6/11 20:21,90,72,5,100449,29.7,1.2
2021/6/11 20:56,91,72,0,100498,29.3,0.6
2021/6/11 21:31,92,73,1,100546,29.2,0.7
2021/6/11 22:42,93,78,2,100615,28.3,1
2021/6/11 23:17,94,81,2,100599,28,0.5
